                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88038,                 1.4507,                 1.1014,                0.70163,                0.69879,                0.74865,                0.58272,                0.70163,                0.60455,                0.99511,                0.07012,                0.00332,                0.00332
                      1,                0.75067,                0.65791,                  1.005,                0.82225,                0.80774,                0.84497,                0.66785,                0.69941,                0.55575,                0.99655,               0.040054,              0.0065875,              0.0065875
                      2,                0.77173,                 0.6156,                 1.0143,                0.84685,                0.73133,                0.79876,                0.62657,                0.70956,                 0.5852,                0.98921,              0.0099223,              0.0097889,              0.0097889
                      3,                0.76928,                0.60059,                 1.0071,                0.72677,                0.69601,                0.76083,                0.59653,                0.71458,                0.59761,                0.99637,               0.009703,               0.009703,               0.009703
                      4,                 0.7576,                0.57025,                0.99389,                0.73231,                0.77292,                0.77112,                0.60201,                0.69607,                0.67437,                0.97854,               0.009703,               0.009703,               0.009703
                      5,                0.74221,                0.53773,                0.99291,                0.84436,                0.80955,                0.85656,                0.68073,                0.68181,                0.49338,                0.97858,               0.009604,               0.009604,               0.009604
                      6,                 0.7192,                0.50825,                0.98065,                0.84248,                0.84843,                0.87881,                0.68332,                0.70249,                0.47124,                0.98291,               0.009505,               0.009505,               0.009505
                      7,                0.71678,                0.49649,                0.98206,                0.88098,                0.83797,                0.89347,                0.70822,                0.68421,                0.45432,                 0.9899,               0.009406,               0.009406,               0.009406
                      8,                0.70327,                0.47845,                0.97446,                0.85939,                0.85484,                0.89134,                0.69976,                 0.6864,                0.46213,                 0.9897,               0.009307,               0.009307,               0.009307
                      9,                0.69911,                0.46672,                0.97879,                0.82943,                0.85212,                0.88532,                0.70042,                0.67775,                0.46224,                0.98105,               0.009208,               0.009208,               0.009208
                     10,                0.68748,                0.45377,                 0.9684,                0.85494,                0.83196,                0.86553,                0.67345,                 0.7003,                0.47366,                0.98473,               0.009109,               0.009109,               0.009109
                     11,                0.68629,                0.44415,                0.96758,                0.87276,                0.84013,                0.88952,                0.70058,                0.68411,                0.45062,                 0.9813,                0.00901,                0.00901,                0.00901
                     12,                0.66958,                0.42805,                0.96263,                0.84843,                0.83302,                0.87135,                 0.6848,                0.68925,                0.47348,                0.99175,               0.008911,               0.008911,               0.008911
                     13,                0.66294,                0.41932,                0.95309,                0.87926,                0.86045,                0.89517,                0.70481,                0.68814,                0.43497,                0.96964,               0.008812,               0.008812,               0.008812
                     14,                0.65268,                0.41527,                0.94605,                0.86514,                0.84664,                0.88848,                0.69748,                0.69369,                0.45993,                0.99302,               0.008713,               0.008713,               0.008713
                     15,                0.64457,                0.40323,                   0.95,                 0.8744,                0.83549,                0.87757,                0.69128,                0.69486,                0.48643,                0.99149,               0.008614,               0.008614,               0.008614
                     16,                0.62899,                0.38662,                0.93794,                 0.9021,                 0.8496,                0.89151,                0.70577,                0.68786,                 0.4416,                0.98116,               0.008515,               0.008515,               0.008515
                     17,                 0.6247,                0.38546,                0.93997,                0.85202,                0.84005,                0.88028,                0.69821,                0.69209,                0.47149,                0.98585,               0.008416,               0.008416,               0.008416
                     18,                0.62063,                0.38009,                 0.9349,                0.88115,                0.86163,                0.89588,                0.70686,                0.68369,                0.43373,                0.98866,               0.008317,               0.008317,               0.008317
                     19,                 0.6107,                0.37322,                0.92821,                0.89168,                0.82396,                0.88943,                0.69826,                0.69262,                0.45146,                0.97863,               0.008218,               0.008218,               0.008218
                     20,                0.60267,                0.36606,                0.93003,                0.88062,                0.85463,                 0.8865,                0.70313,                 0.6997,                0.45045,                0.99927,               0.008119,               0.008119,               0.008119
                     21,                0.59071,                0.35423,                 0.9237,                0.89369,                0.85352,                0.88916,                0.70169,                0.68685,                0.42609,                0.98421,                0.00802,                0.00802,                0.00802
                     22,                0.58559,                0.35464,                0.91759,                0.89263,                0.83511,                0.87817,                0.69847,                0.68999,                0.43719,                0.99171,               0.007921,               0.007921,               0.007921
                     23,                0.57672,                0.34826,                0.91896,                0.89828,                0.84175,                0.89491,                0.70713,                0.69328,                0.43448,                  1.002,               0.007822,               0.007822,               0.007822
                     24,                0.56778,                0.34177,                0.91391,                0.88295,                0.80979,                 0.8709,                0.68813,                0.69308,                0.47705,                0.98501,               0.007723,               0.007723,               0.007723
                     25,                0.56206,                0.34043,                0.91101,                0.89851,                 0.8579,                0.90513,                0.71839,                0.69184,                0.41824,                0.99513,               0.007624,               0.007624,               0.007624
                     26,                0.55467,                0.33414,                0.90479,                0.86591,                0.85563,                 0.8845,                0.70066,                0.68671,                0.44932,                0.99666,               0.007525,               0.007525,               0.007525
                     27,                0.54473,                0.32648,                0.90732,                0.90154,                0.84765,                0.89526,                0.70753,                0.69583,                0.44477,                  1.002,               0.007426,               0.007426,               0.007426
                     28,                0.53996,                0.32163,                0.90506,                0.92256,                0.83529,                0.90109,                0.70884,                0.69774,                0.43289,                 1.0028,               0.007327,               0.007327,               0.007327
                     29,                0.52817,                0.31884,                0.89898,                0.87663,                0.87281,                 0.8991,                0.71547,                0.69704,                0.44116,                0.99916,               0.007228,               0.007228,               0.007228
                     30,                0.52348,                0.31613,                0.89516,                  0.862,                0.88187,                0.90189,                0.71521,                0.69054,                0.42679,                 1.0037,               0.007129,               0.007129,               0.007129
                     31,                0.51967,                0.31316,                0.89453,                0.87383,                0.87796,                0.89927,                0.71672,                0.68446,                0.43315,                0.99597,                0.00703,                0.00703,                0.00703
                     32,                0.51271,                0.31013,                0.89398,                0.91895,                0.85335,                0.90858,                0.71918,                0.68869,                0.43135,                0.99888,               0.006931,               0.006931,               0.006931
                     33,                0.50494,                 0.3051,                0.89165,                0.89624,                0.84814,                0.90044,                0.70784,                0.69139,                0.44367,                 0.9983,               0.006832,               0.006832,               0.006832
                     34,                0.49858,                0.30518,                0.88544,                0.89791,                0.88273,                0.90903,                0.72149,                0.68818,                0.42439,                0.99869,               0.006733,               0.006733,               0.006733
                     35,                0.49636,                0.29801,                0.88684,                0.89436,                 0.8636,                0.89923,                0.71527,                0.68851,                0.42853,                0.99729,               0.006634,               0.006634,               0.006634
                     36,                0.48083,                0.29043,                0.88252,                0.87985,                0.86591,                0.89766,                0.70759,                0.69669,                0.44735,                 1.0048,               0.006535,               0.006535,               0.006535
                     37,                0.48225,                0.29606,                0.88503,                0.89803,                0.83859,                0.88757,                0.69974,                0.69097,                0.44113,                 1.0109,               0.006436,               0.006436,               0.006436
                     38,                0.47441,                0.29003,                0.88149,                0.93282,                0.84926,                0.90183,                0.70904,                0.69673,                0.41872,                 1.0154,               0.006337,               0.006337,               0.006337
                     39,                0.46734,                0.28632,                0.87425,                  0.888,                0.88423,                0.90852,                0.72488,                0.69336,                0.42559,                0.99557,               0.006238,               0.006238,               0.006238
                     40,                 0.4642,                0.28524,                0.87651,                0.89813,                0.85533,                0.90364,                0.71788,                0.69339,                 0.4299,                0.99962,               0.006139,               0.006139,               0.006139
                     41,                0.45602,                0.27961,                0.87146,                0.88811,                0.85941,                0.90102,                0.71267,                 0.6926,                0.43046,                0.99696,                0.00604,                0.00604,                0.00604
                     42,                0.45186,                 0.2769,                0.87019,                0.88721,                0.86482,                0.89003,                0.70983,                0.69171,                0.43421,                 0.9879,               0.005941,               0.005941,               0.005941
                     43,                0.45218,                  0.279,                0.86904,                0.89776,                0.86235,                0.90083,                  0.718,                 0.6875,                0.42244,                0.99831,               0.005842,               0.005842,               0.005842
                     44,                0.44267,                0.27219,                 0.8695,                0.90336,                0.85076,                0.89331,                0.70912,                0.69196,                0.42532,                 1.0057,               0.005743,               0.005743,               0.005743
                     45,                0.43912,                0.27092,                0.86666,                0.87376,                0.87613,                 0.8952,                0.71367,                0.68482,                0.43444,                 1.0084,               0.005644,               0.005644,               0.005644
                     46,                0.43695,                0.26937,                0.86706,                0.88524,                0.85689,                0.88697,                0.71118,                0.69324,                0.45557,                 1.0139,               0.005545,               0.005545,               0.005545
                     47,                0.42914,                0.26429,                 0.8641,                0.88072,                0.86485,                0.90125,                0.71515,                0.69293,                0.43276,                  1.006,               0.005446,               0.005446,               0.005446
                     48,                0.42253,                0.26157,                0.86037,                0.88956,                0.86853,                0.89602,                 0.7106,                0.68729,                0.42771,                0.99799,               0.005347,               0.005347,               0.005347
                     49,                0.42051,                0.26284,                0.85954,                  0.927,                0.86359,                0.91324,                0.72556,                0.68955,                0.41196,                 1.0129,               0.005248,               0.005248,               0.005248
                     50,                0.41223,                0.25666,                0.85705,                0.88607,                0.89454,                0.90156,                  0.722,                0.68742,                0.41752,                 1.0086,               0.005149,               0.005149,               0.005149
                     51,                0.41006,                0.25498,                0.85839,                0.89778,                0.85487,                0.90203,                0.71823,                0.68626,                0.42029,                 1.0087,                0.00505,                0.00505,                0.00505
                     52,                  0.406,                0.25117,                0.85733,                0.91063,                0.86702,                 0.9045,                0.71966,                0.68238,                0.41885,                 1.0008,               0.004951,               0.004951,               0.004951
                     53,                 0.3999,                0.24895,                0.85545,                0.86899,                0.87798,                0.90713,                0.72841,                0.68445,                 0.4321,                 1.0069,               0.004852,               0.004852,               0.004852
                     54,                0.39841,                0.24802,                0.85267,                0.91776,                0.85842,                0.90882,                0.72529,                0.68779,                0.40953,                0.99898,               0.004753,               0.004753,               0.004753
                     55,                0.39807,                0.24897,                0.85274,                0.87887,                0.89571,                0.91348,                0.72713,                0.68602,                0.40409,                 1.0109,               0.004654,               0.004654,               0.004654
                     56,                0.39279,                0.24547,                0.85047,                0.91028,                0.85254,                0.90625,                0.72718,                0.69096,                0.41958,                 1.0122,               0.004555,               0.004555,               0.004555
                     57,                0.38975,                0.24239,                0.85469,                0.91776,                0.87636,                0.90291,                0.72211,                 0.6822,                 0.4291,                 1.0115,               0.004456,               0.004456,               0.004456
                     58,                0.38609,                0.24306,                0.84923,                0.90384,                0.86949,                 0.9026,                0.72308,                0.68351,                0.43046,                0.98748,               0.004357,               0.004357,               0.004357
                     59,                0.38304,                0.24007,                0.84784,                0.89895,                 0.8693,                0.90477,                0.72678,                0.68283,                0.42347,                 1.0042,               0.004258,               0.004258,               0.004258
                     60,                0.37655,                0.23607,                0.84683,                0.90571,                0.86839,                0.89996,                0.72571,                0.68049,                0.43017,                 1.0032,               0.004159,               0.004159,               0.004159
                     61,                0.37252,                0.23214,                0.84385,                0.89318,                0.85984,                0.90069,                0.71674,                0.68101,                0.43237,                0.99786,                0.00406,                0.00406,                0.00406
                     62,                0.36986,                 0.2326,                0.84613,                 0.9027,                 0.8569,                0.89913,                0.72162,                0.68322,                0.42779,                 1.0162,               0.003961,               0.003961,               0.003961
                     63,                0.36601,                0.23134,                0.84547,                0.90996,                0.85551,                0.90693,                0.72982,                0.68183,                0.42554,                 1.0101,               0.003862,               0.003862,               0.003862
                     64,                0.36201,                0.22931,                 0.8441,                0.91308,                0.86458,                0.90635,                0.72852,                0.68282,                0.42579,                 1.0195,               0.003763,               0.003763,               0.003763
